,Store Number,City,Total Sales,Total Sales mean,County Number,Price per Liter mean_x,Zip Code,Total Volume Sold (Liters),Total Volume Sold (Liters) mean,Total Margin mean,2015 Sales,2015 Sales mean,Price per Liter mean_y,2015 Volume Sold (Liters),2015 Volume Sold (Liters) mean,2015 Margin mean,2015 Sales Q1,2016 Sales,2016 Sales mean,Price per Liter mean,2016 Volume Sold (Liters),2016 Volume Sold (Liters) mean,2016 Margin mean,2016 Sales Q1
70,2567,DAVENPORT,55606.81,60.7061244541,82.0,15.2338298503,52806,4808.04,5.24895196507,20.3139628821,46456.51,62.609851752,15.2448963176,4067.3,5.48153638814,20.9643261456,6703.81,9150.3,52.5879310345,15.1866383631,740.74,4.25712643678,17.5405747126,9150.3
71,2568,CEDAR RAPIDS,33404.91,84.9997709924,57.0,14.7730908697,52402,3125.69,7.95340966921,28.3776844784,25844.42,85.8618604651,14.6187970757,2456.08,8.15973421927,28.6747840532,7318.16,7560.49,82.1792391304,15.2778999128,669.61,7.27836956522,27.4056521739,7560.49
72,2569,CEDAR RAPIDS,61493.59,73.0327672209,57.0,16.8412013769,52402,4334.13,5.14742280285,24.3960570071,48675.15,69.4367332382,16.7129001254,3607.84,5.14670470756,23.20467903,10685.78,12818.44,90.9109219858,17.4790678825,726.29,5.1509929078,30.3191489362,12818.44
73,2571,WATERLOO,103894.04,169.4845677,7.0,16.5264477827,50703,7779.75,12.6912724307,56.6734747145,80618.12,161.23624,16.225965934,5823.65,11.6473,53.95158,14679.96,23275.92,205.98159292,17.856013485,1956.1,17.310619469,68.7172566372,23275.92
74,2572,CEDAR FALLS,120525.6,72.9573849879,7.0,18.9376239719,50613,7406.35,4.48326271186,24.3748244552,99356.85,76.3109447005,18.8157845308,6094.24,4.68067588326,25.5011597542,22911.98,21168.75,60.4821428571,19.3908666929,1312.11,3.74888571429,20.1848571429,21168.75
75,2573,MUSCATINE,145849.79,136.948159624,70.0,20.5366278533,52761,9788.19,9.19078873239,45.7076995305,122362.25,140.970334101,20.7518799212,8191.67,9.4374078341,47.0564861751,25145.27,23487.54,119.226091371,19.5882075748,1596.52,8.10416243655,39.764822335,23487.54
76,2575,WATERLOO,27132.79,93.8850865052,7.0,16.074760257,50702,2124.25,7.35034602076,31.3957439446,23572.2,94.2888,15.8950704762,1881.0,7.524,31.54436,6285.61,3560.59,91.2971794872,17.2266178266,243.25,6.23717948718,30.4430769231,3560.59
77,2576,STORM LAKE,60963.72,66.0495341278,11.0,18.5468320856,50588,4048.45,4.38618634886,22.0646695558,51268.32,68.7242895442,18.7873311378,3346.65,4.48612600536,22.9634316354,16259.69,9695.4,54.7762711864,17.533203312,701.8,3.96497175141,18.2766666667,9695.4
78,2578,CHARLES CITY,80711.29,169.561533613,34.0,15.8078476391,50616,6251.8,13.1340336134,56.8078991597,66903.18,171.107877238,15.87161308,5148.65,13.1679028133,57.3145524297,10327.73,13808.11,162.448352941,15.5145266106,1103.15,12.9782352941,54.4772941176,13808.11
79,2579,GRINNELL,36398.03,97.581849866,79.0,17.3263927916,50112,2381.98,6.38600536193,32.5889276139,30280.1,102.993537415,17.3761516035,1977.6,6.72653061224,34.4070748299,6348.57,6117.93,77.4421518987,17.1412144285,404.38,5.11873417722,25.8226582278,6117.93
80,2582,MASON CITY,82099.91,105.526876607,17.0,17.1951538165,50401,6540.63,8.40697943445,35.2805012853,68202.92,106.901128527,17.223782235,5502.68,8.62489028213,35.7379467085,11165.02,13896.99,99.2642142857,17.0646900239,1037.95,7.41392857143,33.1958571429,13896.99
81,2584,FORT MADISON,54315.32,96.4748134991,56.0,20.3602943415,52627,3817.5,6.78063943162,32.2163587922,45918.08,92.9515789474,19.6906439175,3245.7,6.57024291498,31.0482388664,9003.97,8397.24,121.699130435,25.1546031746,571.8,8.28695652174,40.5794202899,8397.24
82,2585,ALGONA,86016.05,129.542243976,55.0,17.1287148165,50511,6629.09,9.98356927711,43.4675301205,70885.9,135.53709369,16.8408607015,5428.48,10.3795028681,45.4180879541,9330.01,15130.15,107.306028369,18.1964290158,1200.61,8.51496453901,36.2324822695,15130.15
83,2587,JOHNSTON,95446.64,64.4474274139,77.0,18.5033140732,50131,6350.95,4.28828494261,21.5755503038,80916.32,67.2062458472,18.50118974,5387.34,4.47453488372,22.5151162791,10162.14,14530.32,52.4560288809,18.5125476371,963.61,3.47873646209,17.4916606498,14530.32
84,2588,CEDAR RAPIDS,107586.45,129.778588661,57.0,19.1332984291,52403,6953.84,8.38822677925,43.4155609168,92001.25,133.722747093,19.2110357733,5842.38,8.49183139535,44.7430232558,21154.77,15585.2,110.533333333,18.7539842958,1111.46,7.88269503546,36.9382978723,15585.2
85,2590,CEDAR RAPIDS,146443.22,107.996474926,57.0,20.7514696181,52402,9520.45,7.02098082596,36.0405752212,121474.94,110.532247498,20.964206524,7987.13,7.26763421292,36.8876524113,22397.57,24968.28,97.1528404669,19.8417503205,1533.32,5.96622568093,32.4182490272,24968.28
86,2591,ATLANTIC,61997.82,101.303627451,15.0,17.7039172767,50022,4370.07,7.1406372549,33.8138888889,49416.0,99.0300601202,17.7114318962,3497.37,7.00875751503,33.0615230461,9210.44,12581.82,111.343539823,17.6707332491,872.7,7.72300884956,37.1362831858,12581.82
87,2592,MARSHALLTOWN,18812.35,68.6582116788,64.0,14.8905814262,50158,1765.04,6.44175182482,22.9287956204,15110.9,66.275877193,15.1098215385,1378.42,6.04570175439,22.1363596491,3235.38,3701.45,80.4663043478,13.8039130435,386.62,8.4047826087,26.8565217391,3701.45
88,2593,CARROLL,212961.57,202.050825427,14.0,18.3950519865,51401,15011.25,14.2421726755,67.7577798861,191333.88,213.304214047,18.4324304915,13406.82,14.9462876254,71.5690635452,34944.39,21627.69,137.755987261,18.1814945405,1604.43,10.2192993631,45.9824840764,21627.69
